date,cpi,policy_rate,neer,money_supply,inflation_target,type_of_monetary_policy
31/1/2001,1.32,1.5,89.24,147.07,inrange,ease
28/2/2001,1.44,1.5,90.47,145.49,inrange,ease
31/3/2001,1.44,-0.5,89.33,140.02,inrange,ease
30/4/2001,2.52,-1,87.32,138.88,inrange,ease
31/5/2001,2.76,1.5,87.16,139.49,inrange,ease
30/6/2001,,2.5,88.3,139.53,inrange,tight
31/7/2001,,2.5,87.81,138.87,inrange,tight
31/8/2001,,2.5,87.32,144.93,inrange,tight
30/9/2001,,2.5,88.12,144.44,inrange,tight
31/10/2001,,2.5,88.26,144.56,inrange,tight
30/11/2001,,2.5,89.42,148.71,outrrange,tight
31/12/2001,0.72,2.25,91.11,148.43,outrrange,tight
31/1/2002,0.84,2,91.88,147.27,outrrange,tight
28/2/2002,0.36,2,92.56,149.9,outrrange,tight
28/2/2002,0.3,2,92.56,149.9,outrrange,tight
31/3/2002,0.6,2,92.89,150.91,outrrange,tight
30/4/2002,0.47,2,92.36,152.66,outrrange,tight
31/5/2002,0.24,2,92.02,155.95,outrrange,tight
30/6/2002,0.36,2,92.03,158.75,outrrange,tight
31/7/2002,0.24,2,92.41,157.59,outrrange,tight
31/8/2002,0.36,2,91.03,159.25,outrrange,tight
30/9/2002,0.47,2,90,149.61,outrrange,tight
31/10/2002,1.53,2,88.9,150.47,inrange,tight
30/11/2002,1.3,1.75,88.67,151.77,inrange,ease
31/12/2002,1.66,1.75,88.31,154.13,inrange,ease
31/1/2003,2.24,1.75,88.18,157.04,inrange,ease
28/2/2003,100,1.75,87.85,157.63,inrange,ease
31/3/2003,1.75,1.75,88.08,157.89,inrange,ease
30/4/2003,1.52,1.75,87.75,157.73,inrange,ease
31/5/2003,1.87,1.75,87.3,163.36,inrange,ease
30/6/2003,1.64,1.25,88.2,161.57,inrange,ease
31/7/2003,1.76,50,88.52,162.57,inrange,ease
31/8/2003,2.23,1.25,89.34,166.53,inrange,ease
30/9/2003,1.75,1.25,91.06,171.74,inrange,ease
31/10/2003,1.27,1.25,90.9,173.17,inrange,ease
30/11/2003,1.87,1.25,90.41,176.32,inrange,ease
31/12/2003,1.75,1.25,89.65,178.24,inrange,ease
31/1/2004,1.27,1.25,90.13,182.21,inrange,ease
29/2/2004,2.2,1.25,89.95,183.08,inrange,ease
31/3/2004,2.44,1.25,90.09,183.91,inrange,ease
30/4/2004,2.53,1.25,90.25,182.81,inrange,ease
31/5/2004,2.4,1.25,88.98,180.55,inrange,ease
30/6/2004,3.11,1.25,87.84,177.01,outrrange,ease
31/7/2004,3.23,1.25,87.2,177.64,outrrange,ease
31/8/2004,3.09,1.5,86.4,176.56,outrrange,ease
30/9/2004,3.55,1.5,86.32,178.16,outrrange,ease
31/10/2004,3.43,1.75,85.9,180.72,outrrange,ease
30/11/2004,2.97,1.75,86.06,189.63,inrange,ease
31/12/2004,2.97,2,87.57,192.07,inrange,tight
31/1/2005,2.75,2,89.81,195.79,inrange,tight
28/2/2005,2.48,2,90.58,198.82,inrange,tight
31/3/2005,3.16,2.25,90.02,193.38,outrrange,tight
30/4/2005,3.49,2.25,88.61,192,outrrange,tight
31/5/2005,3.82,2.25,88.07,186.79,outrrange,tight
30/6/2005,3.79,2.5,86.76,182.5,outrrange,tight
31/7/2005,5.35,2.75,85.84,182.89,outrrange,tight
31/8/2005,5.55,2.75,86.22,186.03,outrrange,tight
30/9/2005,5.98,3.25,86.71,188.57,outrrange,tight
31/10/2005,6.32,3.75,87.94,190.08,outrrange,tight
30/11/2005,5.89,3.75,88.29,191.14,outrrange,tight
31/12/2005,5.78,4,87.97,193.29,outrrange,tight
31/1/2006,5.88,4.25,89.9,208.5,outrrange,tight
28/2/2006,5.52,4.25,90.67,208.32,outrrange,tight
31/3/2006,5.69,4.5,91.52,211.35,outrrange,tight
30/4/2006,6.08,4.75,93.13,220.72,outrrange,tight
31/5/2006,6.14,4.75,91.45,219.05,outrrange,tight
30/6/2006,5.92,5,91.77,215.99,outrrange,tight
31/7/2006,4.45,5,92.53,220.04,outrrange,tight
31/8/2006,3.79,5,93.18,223.47,outrrange,tight
30/9/2006,2.72,5,93.94,223.69,inrange,tight
31/10/2006,2.81,5,94.52,229.83,inrange,tight
30/11/2006,3.46,5,95.6,239,outrrange,tight
31/12/2006,3.57,5,96.63,237.65,outrrange,tight
31/1/2007,3.02,4.75,96.92,242.37,outrrange,tight
28/2/2007,2.46,4.5,97.37,248.37,inrange,tight
31/3/2007,1.97,4.5,98.6,253.86,inrange,tight
30/4/2007,1.86,4,98.43,257.31,inrange,tight
31/5/2007,1.94,3.5,99.03,260.46,inrange,tight
30/6/2007,1.94,3.5,99.42,258.01,inrange,tight
31/7/2007,1.73,3.25,101.04,266.82,inrange,tight
31/8/2007,1.16,3.25,99.61,262.5,inrange,tight
30/9/2007,2.04,3.25,98.52,262.22,inrange,tight
31/10/2007,2.53,3.25,97.47,266.07,inrange,tight
30/11/2007,3.09,3.25,96.77,267.81,outrrange,tight
31/12/2007,3.09,3.25,97.86,270.43,outrrange,tight
31/1/2008,4.33,3.25,98.06,278.27,outrrange,tight
29/2/2008,5.38,3.25,99.17,296.21,outrrange,tight
31/3/2008,5.35,3.25,100.51,298.91,outrrange,tight
30/4/2008,6.08,3.25,99.94,297.96,outrrange,tight
31/5/2008,7.6,3.25,99.1,290.81,outrrange,tight
30/6/2008,8.72,3.25,96.3,277.83,outrrange,tight
31/7/2008,9.16,3.5,94.92,276.27,outrrange,tight
31/8/2008,6.52,3.75,95.97,274.81,outrrange,tight
30/9/2008,6.03,3.75,96.37,278.2,outrrange,tight
31/10/2008,3.88,3.75,98.49,272.09,outrrange,tight
30/11/2008,2.09,3.75,98.41,274.23,inrange,tight
31/12/2008,0.44,2.75,96.45,286.35,outrrange,tight
31/1/2009,-0.48,2,97.22,287.25,outrrange,tight
28/2/2009,-0.12,1.5,97.97,282.11,outrrange,ease
31/3/2009,-0.24,1.5,97.62,288.33,outrrange,ease
30/4/2009,-0.93,1.25,97.14,291.01,outrrange,ease
31/5/2009,-3.4,1.25,97.07,300.03,outrrange,ease
30/6/2009,-3.93,1.25,97.5,297.26,outrrange,ease
31/7/2009,-4.36,1.25,97.32,294.04,outrrange,ease
31/8/2009,-1.15,1.25,96.89,297.15,outrrange,ease
30/9/2009,-1.03,1.25,96.18,302.32,outrrange,ease
31/10/2009,0.35,1.25,95.97,304.52,outrrange,ease
30/11/2009,1.88,1.25,95.84,311.37,inrange,ease
31/12/2009,3.47,1.25,96.64,317.97,outrrange,ease
31/1/2010,4.1,1.25,97.4,319.49,outrrange,ease
28/2/2010,3.68,1.25,98.01,323.48,outrrange,ease
31/3/2010,3.42,1.25,99.54,335.62,outrrange,ease
30/4/2010,2.97,1.25,100.22,334.93,inrange,ease
31/5/2010,3.41,1.25,101.54,338.4,outrrange,ease
30/6/2010,3.32,1.25,101.79,334.56,outrrange,ease
31/7/2010,3.47,1.5,100.37,337.53,outrrange,ease
31/8/2010,3.36,1.75,101.12,350.76,outrrange,ease
30/9/2010,3.04,1.75,103.13,366.51,outrrange,ease
31/10/2010,2.95,1.75,103.67,378.58,inrange,ease
30/11/2010,2.81,1.75,104.26,380.72,inrange,ease
31/12/2010,3.09,2,104.2,391.9,outrrange,tight
31/1/2011,3.04,2.25,101.73,383.13,outrrange,tight
28/2/2011,2.88,2.25,100.78,397.19,inrange,tight
31/3/2011,3.15,2.5,101.21,406.1,outrrange,tight
30/4/2011,4.04,2.75,101.23,418.02,outrrange,tight
31/5/2011,4.19,2.75,100.11,414.2,outrrange,tight
30/6/2011,4.06,3,99.02,410.55,outrrange,tight
31/7/2011,4.1,3.25,99.89,429.47,outrrange,tight
31/8/2011,4.29,3.5,100.09,429.84,outrrange,tight
30/9/2011,4.01,3.5,100.15,414.07,outrrange,tight
31/10/2011,4.19,3.5,99.44,428.21,outrrange,tight
30/11/2011,4.19,3.25,99.65,431.51,outrrange,tight
31/12/2011,3.54,3.25,99.57,429.46,outrrange,tight
31/1/2012,3.37,3,92.55,442.74,outrrange,tight
29/2/2012,3.34,3,94.25,453.32,outrrange,tight
31/3/2012,3.44,3,95.29,450.79,outrrange,tight
30/4/2012,2.47,3,101.98,449.22,inrange,tight
31/5/2012,2.52,3,101.4,435.09,inrange,tight
30/6/2012,2.56,3,101.28,443.74,inrange,tight
31/7/2012,2.72,3,101.12,448.54,inrange,tight
31/8/2012,2.69,3,101.4,456.39,inrange,tight
30/9/2012,3.38,3,101.93,471.91,outrrange,tight
31/10/2012,3.32,2.75,102.67,478.76,outrrange,tight
30/11/2012,2.73,2.75,103.08,484.59,inrange,tight
31/12/2012,3.62,2.75,103.41,489.26,outrrange,tight
31/1/2013,3.38,2.75,106.14,502.88,outrrange,tight
28/2/2013,3.23,2.75,107.97,506.93,outrrange,tight
31/3/2013,2.69,2.75,110.07,519.85,inrange,tight
30/4/2013,2.42,2.75,112,521.49,inrange,tight
31/5/2013,2.27,2.5,110.25,509.38,inrange,tight
30/6/2013,2.25,2.5,106.87,496.22,inrange,tight
31/7/2013,2.01,2.5,106.77,492.3,inrange,tight
31/8/2013,1.59,2.5,105.2,482.47,inrange,tight
30/9/2013,1.43,2.5,105.03,498.46,inrange,tight
31/10/2013,1.46,2.5,105.56,501.32,inrange,tight
30/11/2013,1.92,2.25,104.98,493.61,inrange,tight
31/12/2013,1.67,2.25,103.42,491.02,inrange,tight
31/1/2014,1.93,2.25,102.13,488.38,inrange,tight
